country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","18-04-2026 17:00:00",23.593150,72.372792,OZONE,8,15,14
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","18-04-2026 17:00:00",22.410802,73.097923,PM2.5,37,359,179
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","18-04-2026 17:00:00",23.076793,72.627874,CO,2,110,12
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","18-04-2026 17:00:00",21.613267,73.010555,PM2.5,47,234,100
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","18-04-2026 17:00:00",23.076793,72.627874,NO2,9,106,41
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","18-04-2026 17:00:00",22.410802,73.097923,SO2,3,24,6
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","18-04-2026 17:00:00",13.029152,77.585901,NH3,1,6,2
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","18-04-2026 17:00:00",12.938539,77.590100,PM2.5,63,99,81
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","18-04-2026 17:00:00",12.938539,77.590100,NO2,17,79,31
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","18-04-2026 17:00:00",12.938539,77.590100,NH3,2,3,3
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","18-04-2026 17:00:00",12.938539,77.590100,OZONE,43,114,100
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","18-04-2026 17:00:00",12.920984,77.584908,PM2.5,74,126,87
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","18-04-2026 17:00:00",12.7816279,77.6299145,PM2.5,38,78,61
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","18-04-2026 17:00:00",12.7816279,77.6299145,OZONE,27,29,28
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","18-04-2026 17:00:00",12.921418,77.502466,PM10,NA,NA,NA
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","18-04-2026 17:00:00",29.536400,75.015800,PM2.5,29,127,73
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","18-04-2026 17:00:00",29.536400,75.015800,NH3,12,14,13
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","18-04-2026 17:00:00",29.027200,77.062100,PM10,116,132,122
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","18-04-2026 17:00:00",30.1480566,77.2893471,PM2.5,NA,NA,NA
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","18-04-2026 17:00:00",30.1480566,77.2893471,OZONE,8,32,32
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","18-04-2026 17:00:00",30.943887,76.801991,PM2.5,20,283,81
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","18-04-2026 17:00:00",30.943887,76.801991,NO2,1,25,7
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","18-04-2026 17:00:00",30.943887,76.801991,SO2,16,19,17
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","18-04-2026 17:00:00",28.1485564,77.3320667,PM10,41,69,50
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","18-04-2026 17:00:00",28.1485564,77.3320667,NH3,9,9,9
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","18-04-2026 17:00:00",28.1485564,77.3320667,OZONE,23,25,24
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","18-04-2026 17:00:00",28.3153,76.9143,SO2,13,30,22
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","18-04-2026 17:00:00",30.7057778,76.8531805555555,PM2.5,34,143,71
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","18-04-2026 17:00:00",29.432304,76.972765,CO,8,26,21
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","18-04-2026 17:00:00",13.328028,75.797056,OZONE,12,57,30
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","18-04-2026 17:00:00",15.459706,75.008381,PM10,64,123,91
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","18-04-2026 17:00:00",15.459706,75.008381,SO2,5,8,7
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","18-04-2026 17:00:00",15.3714823,75.1160168,OZONE,23,27,27
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","18-04-2026 17:00:00",17.336318,76.847397,OZONE,NA,NA,NA
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","18-04-2026 17:00:00",13.0246342,77.5080115,CO,37,58,42
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","18-04-2026 17:00:00",12.917348,77.622813,PM10,73,142,107
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","18-04-2026 17:00:00",13.428828,77.731418,PM2.5,53,97,71
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","18-04-2026 17:00:00",13.428828,77.731418,PM10,56,112,84
